id, level, point, color, red, green, blue, white, black
0, 1, 0,RED, 0, 1, 2, 0, 0
1, 1, 0,RED, 0, 0, 0, 3, 0
2, 1, 0,RED, 2, 0, 0, 2, 0
3, 1, 0,RED, 0, 1, 1, 1, 1
4, 1, 0,RED, 0, 1, 1, 2, 1
5, 1, 0,RED, 0, 1, 0, 2, 2
6, 1, 0,RED, 1, 0, 0, 1, 3
7, 1, 1,RED, 0, 0, 0, 4, 0
8, 1, 0,GREEN, 0, 0, 1, 2, 0
9, 1, 0,GREEN, 3, 0, 0, 0, 0
10, 1, 0,GREEN, 2, 0, 2, 0, 0
11, 1, 0,GREEN, 1, 0, 1, 1, 1
12, 1, 0,GREEN, 1, 0, 1, 1, 2
13, 1, 0,GREEN, 2, 0, 1, 0, 2
14, 1, 0,GREEN, 0, 1, 3, 1, 0
15, 1, 1,GREEN, 0, 0, 0, 0, 4
16, 1, 0,BLUE, 0, 0, 0, 1, 2
17, 1, 0,BLUE, 0, 0, 0, 0, 3
18, 1, 0,BLUE, 0, 2, 0, 0, 2
19, 1, 0,BLUE, 1, 1, 0, 1, 1
20, 1, 0,BLUE, 2, 1, 0, 1, 1
21, 1, 0,BLUE, 2, 2, 0, 1, 0
22, 1, 0,BLUE, 1, 3, 1, 0, 0
23, 1, 1,BLUE, 4, 0, 0, 0, 0
24, 1, 0,WHITE, 2, 0, 0, 0, 1
25, 1, 0,WHITE, 0, 0, 3, 0, 0
26, 1, 0,WHITE, 0, 0, 2, 0, 2
27, 1, 0,WHITE, 1, 1, 1, 0, 1
28, 1, 0,WHITE, 1, 2, 1, 0, 1
29, 1, 0,WHITE, 0, 2, 2, 0, 1
30, 1, 0,WHITE, 0, 0, 1, 3, 1
31, 1, 1,WHITE, 0, 4, 0, 0, 0
32, 1, 0,BLACK, 1, 2, 0, 0, 0
33, 1, 0,BLACK, 0, 3, 0, 0, 0
34, 1, 0,BLACK, 0, 2, 0, 3, 0
35, 1, 0,BLACK, 1, 1, 1, 1, 0
36, 1, 0,BLACK, 1, 1, 2, 1, 0
37, 1, 0,BLACK, 1, 0, 2, 2, 0
38, 1, 0,BLACK, 3, 1, 0, 0, 1
39, 1, 1,BLACK, 0, 0, 4, 0, 0
